date,spend,impressions,clicks,leads,cpl
2023-01-01,18.77,1900,34,3,6.26
2023-01-02,33.27,3422,62,6,5.55
2023-01-03,36.38,5450,57,5,7.28
2023-01-04,32.0,4388,61,5,6.4
2023-01-05,28.05,3502,68,5,5.61
2023-01-06,29.76,4390,10,1,29.76
2023-01-07,23.55,3471,38,4,5.89
2023-01-08,126.74,16684,71,6,21.12
2023-01-09,225.83,24316,293,20,11.29
2023-01-10,159.79,17536,186,14,11.41
2023-01-11,131.07,13254,145,16,8.19
2023-01-12,167.77,13541,201,22,7.63
2023-01-13,152.03,17479,114,8,19.0
2023-01-14,107.37,13779,203,14,7.67
2023-01-15,25.94,2703,59,5,5.19
2023-01-16,37.38,2991,54,4,9.35
2023-01-17,32.84,3596,13,1,32.84
2023-01-18,30.32,2694,29,2,15.16
2023-01-19,33.87,4466,67,5,6.77
2023-01-20,36.43,4226,31,3,12.14
2023-01-21,21.0,2769,18,2,10.5
2023-01-22,23.31,3226,20,2,11.65
2023-01-23,29.88,2837,28,3,9.96
2023-01-24,39.92,5562,40,3,13.31
2023-01-25,36.86,4875,78,6,6.14
2023-01-26,34.01,3765,28,3,11.34
2023-01-27,30.59,4321,36,3,10.2
2023-01-28,26.25,2117,28,3,8.75
2023-01-29,15.86,1280,27,3,5.29
2023-01-30,24.9,2182,11,1,24.9
2023-01-31,30.37,3028,27,2,15.18
2023-02-01,67.71,8062,126,9,7.52
2023-02-02,65.47,5572,81,6,10.91
2023-02-03,73.33,8054,109,11,6.67
2023-02-04,56.61,7993,80,7,8.09
2023-02-05,10.97,1261,0,0,0.0
2023-02-06,17.18,1374,24,2,8.59
2023-02-07,14.07,1509,14,1,14.07
2023-02-08,15.67,1916,13,1,15.67
2023-02-09,16.88,1779,22,2,8.44
2023-02-10,17.47,2600,0,0,0.0
2023-02-11,13.63,1312,14,1,13.63
2023-02-12,42.65,4515,29,3,14.22
2023-02-13,64.93,6155,64,6,10.82
2023-02-14,55.37,5519,40,3,18.46
2023-02-15,96.04,12641,79,6,16.01
2023-02-16,43.8,3669,38,3,14.6
2023-02-17,70.52,10417,85,9,7.84
2023-02-18,39.97,5410,8,1,39.97
2023-02-19,33.88,3732,72,6,5.65
2023-02-20,50.93,7365,89,8,6.37
2023-02-21,50.48,4493,94,8,6.31
2023-02-22,58.92,6371,38,4,14.73
2023-02-23,64.95,5263,126,11,5.9
2023-02-24,62.21,7494,144,11,5.66
2023-02-25,38.87,3589,47,5,7.77
2023-02-26,36.99,3780,63,5,7.4
2023-02-27,55.37,7629,99,9,6.15
2023-02-28,63.5,5641,42,5,12.7
2023-03-01,69.26,7881,91,9,7.7
2023-03-02,61.95,8896,165,13,4.77
2023-03-03,64.18,6479,76,8,8.02
2023-03-04,35.43,3865,44,3,11.81
2023-03-05,51.54,6820,48,4,12.88
2023-03-06,60.82,6225,68,7,8.69
2023-03-07,44.06,6072,9,1,44.06
2023-03-08,47.59,4960,74,7,6.8
2023-03-09,63.47,9321,120,11,5.77
2023-03-10,68.33,6255,13,1,68.33
2023-03-11,64.37,7021,149,12,5.36
2023-03-12,41.27,5554,88,7,5.9
2023-03-13,42.98,6236,32,4,10.75
2023-03-14,61.6,7227,127,9,6.84
2023-03-15,62.53,8636,110,11,5.68
2023-03-16,47.25,4403,66,6,7.87
2023-03-17,40.25,5776,88,7,5.75
2023-03-18,46.67,6278,81,7,6.67
2023-03-19,50.15,5603,86,8,6.27
2023-03-20,70.03,6002,156,11,6.37
2023-03-21,57.8,5958,82,10,5.78
2023-03-22,50.91,5287,82,8,6.36
2023-03-23,66.56,7048,117,8,8.32
2023-03-24,39.3,3937,38,4,9.83
