date,spend,impressions,clicks,leads,cpl
2023-01-01,339.73,44949,74,5,67.95
2023-01-02,355.24,51041,139,10,35.52
2023-01-03,324.05,36091,59,6,54.01
2023-01-04,580.96,84148,74,7,82.99
2023-01-05,418.75,45703,99,8,52.34
2023-01-06,517.28,71802,130,12,43.11
2023-01-07,421.1,48631,64,5,84.22
2023-01-08,396.51,41761,64,5,79.3
2023-01-09,411.62,55926,101,10,41.16
2023-01-10,482.11,67482,74,6,80.35
2023-01-11,368.64,45260,116,8,46.08
2023-01-12,446.26,43393,52,6,74.38
2023-01-13,548.95,62248,137,12,45.75
2023-01-14,320.16,32478,85,8,40.02
2023-01-15,190.53,27217,47,5,38.11
2023-01-16,303.23,30365,59,6,50.54
2023-01-17,393.64,33760,115,9,43.74
2023-01-18,578.08,76199,105,10,57.81
2023-01-19,471.33,48044,101,9,52.37
2023-01-20,466.45,64728,139,14,33.32
2023-01-21,251.18,30019,41,4,62.8
2023-01-22,326.82,34844,37,4,81.7
2023-01-23,301.93,27190,149,10,30.19
2023-01-24,483.6,48350,62,5,96.72
2023-01-25,562.27,73787,85,10,56.23
2023-01-26,392.51,38155,110,10,39.25
2023-01-27,552.75,72121,151,13,42.52
2023-01-28,279.63,27828,28,2,139.81
2023-01-29,2315.14,258173,247,24,96.46
2023-01-30,3142.91,289164,152,11,285.72
2023-01-31,3275.64,490804,194,18,181.98
2023-02-01,2077.29,231595,236,17,122.19
2023-02-02,1849.35,241416,75,9,205.48
2023-02-03,1396.86,138935,130,11,126.99
2023-02-04,671.56,74201,167,15,44.77
2023-02-05,183.22,26954,36,4,45.81
2023-02-06,255.65,23336,54,5,51.13
2023-02-07,229.55,21907,40,3,76.52
2023-02-08,201.51,17794,58,7,28.79
2023-02-09,297.09,44058,67,5,59.42
2023-02-10,161.52,20986,104,7,23.07
2023-02-11,135.43,15827,17,2,67.72
2023-02-12,119.79,10013,0,0,0.0
2023-02-13,238.21,20679,33,4,59.55
2023-02-14,204.86,19179,89,7,29.27
2023-02-15,325.82,42717,75,6,54.3
2023-02-16,223.53,20536,101,7,31.93
2023-02-17,213.44,19398,27,3,71.15
2023-02-18,172.9,24225,28,2,86.45
2023-02-19,136.71,12619,32,3,45.57
2023-02-20,183.32,18686,40,5,36.66
2023-02-21,245.33,36689,79,9,27.26
2023-02-22,204.04,23593,44,5,40.81
2023-02-23,265.6,28826,99,10,26.56
2023-02-24,236.65,28408,23,2,118.32
2023-02-25,159.27,21878,74,5,31.85
2023-02-26,157.9,23122,16,2,78.95
2023-02-27,219.38,26217,53,4,54.84
2023-02-28,239.77,33872,74,7,34.25
2023-03-01,264.65,31698,52,5,52.93
2023-03-02,199.84,21851,65,7,28.55
2023-03-03,288.27,29451,116,9,32.03
2023-03-04,183.15,19244,49,5,36.63
2023-03-05,501.3,43559,118,10,50.13
2023-03-06,1056.0,128165,261,23,45.91
2023-03-07,856.86,95549,227,16,53.55
2023-03-08,670.2,54783,175,12,55.85
2023-03-09,905.3,100831,113,11,82.3
2023-03-10,812.62,71522,191,14,58.04
2023-03-11,472.84,66757,97,11,42.99
2023-03-12,210.49,23638,96,8,26.31
2023-03-13,235.29,28828,39,4,58.82
2023-03-14,323.5,32771,61,7,46.21
2023-03-15,241.86,30494,41,3,80.62
2023-03-16,338.92,35583,103,11,30.81
2023-03-17,306.89,44511,98,7,43.84
