lead_id,date,state
SEARCH_000001,2023-01-01,TX
SEARCH_000002,2023-01-01,VA
SEARCH_000003,2023-01-01,MD
SEARCH_000004,2023-01-01,OH
SEARCH_000005,2023-01-01,MI
SEARCH_000006,2023-01-01,IL
SEARCH_000007,2023-01-02,TX
SEARCH_000008,2023-01-02,NC
SEARCH_000009,2023-01-02,FL
SEARCH_000010,2023-01-02,ID
SEARCH_000011,2023-01-02,MI
SEARCH_000012,2023-01-02,OH
SEARCH_000013,2023-01-03,CA
SEARCH_000014,2023-01-03,OH
SEARCH_000015,2023-01-03,CA
SEARCH_000016,2023-01-03,CA
SEARCH_000017,2023-01-03,TX
SEARCH_000018,2023-01-03,UT
SEARCH_000019,2023-01-04,OH
SEARCH_000020,2023-01-04,CO
SEARCH_000021,2023-01-04,CA
SEARCH_000022,2023-01-04,NM
SEARCH_000023,2023-01-04,OH
SEARCH_000024,2023-01-04,CA
SEARCH_000025,2023-01-04,IL
SEARCH_000026,2023-01-04,NY
SEARCH_000027,2023-01-04,FL
SEARCH_000028,2023-01-05,IL
SEARCH_000029,2023-01-05,TX
SEARCH_000030,2023-01-05,TN
SEARCH_000031,2023-01-05,TX
SEARCH_000032,2023-01-05,TX
SEARCH_000033,2023-01-05,NJ
SEARCH_000034,2023-01-06,CA
SEARCH_000035,2023-01-06,NE
SEARCH_000036,2023-01-06,CA
SEARCH_000037,2023-01-06,VA
SEARCH_000038,2023-01-06,NJ
SEARCH_000039,2023-01-06,FL
SEARCH_000040,2023-01-06,WA
SEARCH_000041,2023-01-06,OK
SEARCH_000042,2023-01-07,WA
SEARCH_000043,2023-01-07,CA
SEARCH_000044,2023-01-07,TX
SEARCH_000045,2023-01-07,CA
SEARCH_000046,2023-01-07,NJ
SEARCH_000047,2023-01-07,NY
SEARCH_000048,2023-01-08,KY
SEARCH_000049,2023-01-08,WI
SEARCH_000050,2023-01-08,NY
SEARCH_000051,2023-01-08,CA
SEARCH_000052,2023-01-08,CA
SEARCH_000053,2023-01-08,LA
SEARCH_000054,2023-01-08,IL
SEARCH_000055,2023-01-08,OH
SEARCH_000056,2023-01-08,CO
SEARCH_000057,2023-01-09,FL
SEARCH_000058,2023-01-09,TX
SEARCH_000059,2023-01-09,OH
SEARCH_000060,2023-01-09,NH
SEARCH_000061,2023-01-09,TX
SEARCH_000062,2023-01-09,MA
SEARCH_000063,2023-01-09,IL
SEARCH_000064,2023-01-09,NC
SEARCH_000065,2023-01-09,CA
SEARCH_000066,2023-01-10,IL
SEARCH_000067,2023-01-10,OR
SEARCH_000068,2023-01-10,TX
SEARCH_000069,2023-01-10,NY
SEARCH_000070,2023-01-10,WA
SEARCH_000071,2023-01-10,OH
SEARCH_000072,2023-01-10,OK
SEARCH_000073,2023-01-10,FL
SEARCH_000074,2023-01-10,AZ
SEARCH_000075,2023-01-10,CA
SEARCH_000076,2023-01-10,SC
SEARCH_000077,2023-01-10,MS
SEARCH_000078,2023-01-11,TX
SEARCH_000079,2023-01-11,AK
SEARCH_000080,2023-01-11,OH
SEARCH_000081,2023-01-11,CA
SEARCH_000082,2023-01-11,VA
SEARCH_000083,2023-01-11,KY
SEARCH_000084,2023-01-12,CA
SEARCH_000085,2023-01-12,RI
SEARCH_000086,2023-01-12,WI
SEARCH_000087,2023-01-12,CA
SEARCH_000088,2023-01-12,TX
SEARCH_000089,2023-01-12,WA
SEARCH_000090,2023-01-12,PA
SEARCH_000091,2023-01-12,IL
SEARCH_000092,2023-01-12,FL
SEARCH_000093,2023-01-12,OR
SEARCH_000094,2023-01-12,CO
SEARCH_000095,2023-01-13,CO
SEARCH_000096,2023-01-14,TX
SEARCH_000097,2023-01-14,IL
SEARCH_000098,2023-01-14,MI
SEARCH_000099,2023-01-14,NY
SEARCH_000100,2023-01-14,CA
SEARCH_000101,2023-01-14,IN
SEARCH_000102,2023-01-14,CO
SEARCH_000103,2023-01-14,CO
SEARCH_000104,2023-01-14,AZ
SEARCH_000105,2023-01-14,TX
SEARCH_000106,2023-01-15,CT
SEARCH_000107,2023-01-15,ID
SEARCH_000108,2023-01-15,FL
