date,spend,impressions,clicks,leads,cpl
2023-01-01,125.5,11152,47,4,31.38
2023-01-02,145.83,13653,121,12,12.15
2023-01-03,171.9,14855,49,6,28.65
2023-01-04,238.95,30085,68,8,29.87
2023-01-05,187.44,17351,91,9,20.83
2023-01-06,200.37,29635,34,4,50.09
2023-01-07,171.11,21862,76,6,28.52
2023-01-08,120.94,11174,61,6,20.16
2023-01-09,221.31,22878,71,7,31.62
2023-01-10,154.63,17647,88,9,17.18
2023-01-11,223.13,27793,175,13,17.16
2023-01-12,248.71,32511,76,7,35.53
2023-01-13,175.22,14210,56,4,43.81
2023-01-14,107.28,10984,31,3,35.76
2023-01-15,171.9,15378,95,7,24.56
2023-01-16,254.91,31070,86,6,42.48
2023-01-17,194.87,25973,91,11,17.72
2023-01-18,176.92,16338,43,5,35.38
2023-01-19,232.18,20489,127,10,23.22
2023-01-20,203.28,23018,76,8,25.41
2023-01-21,161.11,18201,35,3,53.7
2023-01-22,51.65,7260,14,1,51.65
2023-01-23,77.12,11124,11,1,77.12
2023-01-24,76.37,7241,0,0,0.0
2023-01-25,54.46,5428,10,1,54.46
2023-01-26,87.79,12242,51,4,21.95
2023-01-27,77.5,6600,36,3,25.83
2023-01-28,56.86,6929,10,1,56.86
2023-01-29,178.73,15323,21,2,89.36
2023-01-30,254.8,21667,127,9,28.31
2023-01-31,214.08,31799,188,14,15.29
2023-02-01,248.67,29281,66,6,41.45
2023-02-02,313.81,30626,118,10,31.38
2023-02-03,250.31,37531,175,12,20.86
2023-02-04,265.58,22059,64,7,37.94
2023-02-05,137.96,14182,9,1,137.96
2023-02-06,245.05,30552,86,10,24.5
2023-02-07,219.3,19294,53,4,54.83
2023-02-08,253.48,33071,169,12,21.12
2023-02-09,280.83,36029,75,7,40.12
2023-02-10,261.55,32570,96,7,37.36
2023-02-11,248.69,35730,68,8,31.09
2023-02-12,192.13,18917,82,7,27.45
2023-02-13,231.37,24774,129,12,19.28
2023-02-14,306.86,41441,139,12,25.57
2023-02-15,224.82,22080,73,5,44.96
2023-02-16,259.77,29439,53,5,51.95
2023-02-17,214.15,27549,8,1,214.15
2023-02-18,174.24,23203,69,7,24.89
2023-02-19,229.12,19778,67,6,38.19
2023-02-20,304.68,30115,162,11,27.7
2023-02-21,308.22,36559,89,6,51.37
2023-02-22,266.24,33592,79,9,29.58
2023-02-23,243.37,29522,40,3,81.12
2023-02-24,354.2,31440,115,9,39.36
2023-02-25,137.62,18253,78,6,22.94
2023-02-26,218.59,20174,84,9,24.29
2023-02-27,264.65,29217,123,9,29.41
2023-02-28,298.66,31394,149,11,27.15
2023-03-01,284.55,41543,133,9,31.62
2023-03-02,272.88,24228,161,13,20.99
2023-03-03,191.85,15438,58,6,31.97
2023-03-04,148.24,21663,65,7,21.18
2023-03-05,203.67,29402,82,9,22.63
2023-03-06,238.97,25869,130,9,26.55
2023-03-07,316.32,39789,138,10,31.63
2023-03-08,242.45,26515,65,7,34.64
2023-03-09,264.78,24611,148,10,26.48
2023-03-10,299.87,34206,47,4,74.97
2023-03-11,182.94,23657,52,5,36.59
2023-03-12,187.2,24806,90,7,26.74
2023-03-13,334.55,33319,214,17,19.68
2023-03-14,199.31,28229,78,6,33.22
2023-03-15,271.64,35955,149,13,20.9
2023-03-16,252.7,22881,104,8,31.59
2023-03-17,362.22,42521,218,15,24.15
2023-03-18,197.89,17318,37,4,49.47
2023-03-19,147.99,15826,110,10,14.8
2023-03-20,326.27,48805,101,11,29.66
2023-03-21,201.84,27315,89,8,25.23
2023-03-22,350.66,47832,60,6,58.44
2023-03-23,224.58,31322,87,7,32.08
2023-03-24,272.61,34506,70,7,38.94
2023-03-25,242.98,23301,77,6,40.5
2023-03-26,139.74,16481,67,5,27.95
2023-03-27,196.32,15972,116,10,19.63
2023-03-28,356.42,39909,125,12,29.7
2023-03-29,231.67,32335,26,2,115.83
2023-03-30,286.76,40277,135,10,28.68
2023-03-31,293.1,27879,136,10,29.31
2023-04-01,220.6,21355,100,10,22.06
2023-04-02,201.5,22313,91,7,28.79
2023-04-03,266.54,29500,105,9,29.62
2023-04-04,322.7,32430,131,14,23.05
2023-04-05,241.42,21591,124,11,21.95
2023-04-06,262.62,36106,96,8,32.83
2023-04-07,285.77,42856,162,16,17.86
2023-04-08,239.77,32240,87,8,29.97
2023-04-09,177.23,17860,47,5,35.45
2023-04-10,231.19,23597,101,10,23.12
2023-04-11,245.4,29910,179,16,15.34
2023-04-12,281.69,25542,143,11,25.61
2023-04-13,268.95,33052,93,9,29.88
2023-04-14,263.31,27222,182,13,20.25
2023-04-15,139.11,15147,68,6,23.18
2023-04-16,149.02,19923,95,8,18.63
2023-04-17,221.02,20148,102,8,27.63
2023-04-18,257.75,34747,84,10,25.78
2023-04-19,227.59,27282,77,6,37.93
2023-04-20,246.02,22380,80,7,35.15
2023-04-21,242.9,33380,73,8,30.36
2023-04-22,201.39,25641,100,12,16.78
2023-04-23,210.21,22812,63,7,30.03
2023-04-24,372.28,51390,143,10,37.23
2023-04-25,259.58,20803,130,13,19.97
2023-04-26,241.21,25705,26,3,80.4
2023-04-27,210.75,27486,66,6,35.12
2023-04-28,247.06,22416,59,7,35.29
2023-04-29,186.68,20445,83,8,23.33
2023-04-30,921.47,125039,180,18,51.19
2023-05-01,1995.16,226575,170,21,95.01
2023-05-02,1445.4,185313,223,18,80.3
2023-05-03,2958.4,352665,171,21,140.88
2023-05-04,2249.08,191061,289,25,89.96
2023-05-05,2115.28,301756,366,28,75.55
2023-05-06,2086.34,296036,359,34,61.36
2023-05-07,177.32,15694,124,9,19.7
2023-05-08,232.99,20054,134,13,17.92
2023-05-09,282.73,30289,96,7,40.39
2023-05-10,228.36,28323,106,9,25.37
2023-05-11,180.8,14637,67,5,36.16
2023-05-12,172.15,24507,25,2,86.07
2023-05-13,161.02,17028,66,8,20.13
2023-05-14,49.27,7178,0,0,0.0
2023-05-15,82.39,11153,18,2,41.2
2023-05-16,119.71,15340,29,2,59.85
2023-05-17,98.51,12029,108,8,12.31
2023-05-18,85.61,10722,23,2,42.81
2023-05-19,93.41,13881,8,1,93.41
2023-05-20,56.74,4975,34,3,18.91
2023-05-21,269.19,27899,119,9,29.91
2023-05-22,268.75,32377,134,14,19.2
2023-05-23,258.1,25462,112,8,32.26
