lead_id,date,state
SOCIAL_000001,2023-01-01,FL
SOCIAL_000002,2023-01-01,TN
SOCIAL_000003,2023-01-01,IL
SOCIAL_000004,2023-01-01,KY
SOCIAL_000005,2023-01-02,NY
SOCIAL_000006,2023-01-02,TX
SOCIAL_000007,2023-01-02,NE
SOCIAL_000008,2023-01-02,NH
SOCIAL_000009,2023-01-02,OH
SOCIAL_000010,2023-01-02,PA
SOCIAL_000011,2023-01-02,GA
SOCIAL_000012,2023-01-02,IA
SOCIAL_000013,2023-01-02,FL
SOCIAL_000014,2023-01-02,OH
SOCIAL_000015,2023-01-02,NY
SOCIAL_000016,2023-01-02,NH
SOCIAL_000017,2023-01-03,AZ
SOCIAL_000018,2023-01-03,TX
SOCIAL_000019,2023-01-03,TX
SOCIAL_000020,2023-01-03,TX
SOCIAL_000021,2023-01-03,WI
SOCIAL_000022,2023-01-03,MI
SOCIAL_000023,2023-01-04,CA
SOCIAL_000024,2023-01-04,IN
SOCIAL_000025,2023-01-04,CA
SOCIAL_000026,2023-01-04,FL
SOCIAL_000027,2023-01-04,SC
SOCIAL_000028,2023-01-04,TX
SOCIAL_000029,2023-01-04,AL
SOCIAL_000030,2023-01-04,IN
SOCIAL_000031,2023-01-05,TX
SOCIAL_000032,2023-01-05,NY
SOCIAL_000033,2023-01-05,AL
SOCIAL_000034,2023-01-05,TX
SOCIAL_000035,2023-01-05,IN
SOCIAL_000036,2023-01-05,CO
SOCIAL_000037,2023-01-05,AL
SOCIAL_000038,2023-01-05,IL
SOCIAL_000039,2023-01-05,NJ
SOCIAL_000040,2023-01-06,KS
SOCIAL_000041,2023-01-06,GA
SOCIAL_000042,2023-01-06,NJ
SOCIAL_000043,2023-01-06,GA
SOCIAL_000044,2023-01-07,PA
SOCIAL_000045,2023-01-07,DC
SOCIAL_000046,2023-01-07,CA
SOCIAL_000047,2023-01-07,OK
SOCIAL_000048,2023-01-07,GA
SOCIAL_000049,2023-01-07,TX
SOCIAL_000050,2023-01-08,MD
SOCIAL_000051,2023-01-08,LA
SOCIAL_000052,2023-01-08,AZ
SOCIAL_000053,2023-01-08,TX
SOCIAL_000054,2023-01-08,GA
SOCIAL_000055,2023-01-08,MN
SOCIAL_000056,2023-01-09,MA
SOCIAL_000057,2023-01-09,NE
SOCIAL_000058,2023-01-09,WI
SOCIAL_000059,2023-01-09,NC
SOCIAL_000060,2023-01-09,KY
SOCIAL_000061,2023-01-09,MS
SOCIAL_000062,2023-01-09,IN
SOCIAL_000063,2023-01-10,CA
SOCIAL_000064,2023-01-10,NC
SOCIAL_000065,2023-01-10,OR
SOCIAL_000066,2023-01-10,GA
SOCIAL_000067,2023-01-10,MI
SOCIAL_000068,2023-01-10,MI
SOCIAL_000069,2023-01-10,LA
SOCIAL_000070,2023-01-10,WV
SOCIAL_000071,2023-01-10,NY
SOCIAL_000072,2023-01-11,TN
SOCIAL_000073,2023-01-11,VA
SOCIAL_000074,2023-01-11,FL
SOCIAL_000075,2023-01-11,AK
SOCIAL_000076,2023-01-11,SC
SOCIAL_000077,2023-01-11,CO
SOCIAL_000078,2023-01-11,PA
SOCIAL_000079,2023-01-11,TX
SOCIAL_000080,2023-01-11,VA
SOCIAL_000081,2023-01-11,NE
SOCIAL_000082,2023-01-11,TN
SOCIAL_000083,2023-01-11,FL
SOCIAL_000084,2023-01-11,KS
SOCIAL_000085,2023-01-12,MA
SOCIAL_000086,2023-01-12,SD
SOCIAL_000087,2023-01-12,MI
SOCIAL_000088,2023-01-12,NY
SOCIAL_000089,2023-01-12,FL
SOCIAL_000090,2023-01-12,PA
SOCIAL_000091,2023-01-12,AL
SOCIAL_000092,2023-01-13,FL
SOCIAL_000093,2023-01-13,MT
SOCIAL_000094,2023-01-13,TX
SOCIAL_000095,2023-01-13,PA
SOCIAL_000096,2023-01-14,MI
SOCIAL_000097,2023-01-14,TX
SOCIAL_000098,2023-01-14,CA
SOCIAL_000099,2023-01-15,IN
SOCIAL_000100,2023-01-15,MA
SOCIAL_000101,2023-01-15,OR
SOCIAL_000102,2023-01-15,VA
SOCIAL_000103,2023-01-15,PA
SOCIAL_000104,2023-01-15,WA
SOCIAL_000105,2023-01-15,AK
SOCIAL_000106,2023-01-16,IL
SOCIAL_000107,2023-01-16,NY
SOCIAL_000108,2023-01-16,PA
SOCIAL_000109,2023-01-16,ME
SOCIAL_000110,2023-01-16,PA
SOCIAL_000111,2023-01-16,ME
SOCIAL_000112,2023-01-17,MT
SOCIAL_000113,2023-01-17,NC
SOCIAL_000114,2023-01-17,WA
SOCIAL_000115,2023-01-17,CA
SOCIAL_000116,2023-01-17,IN
SOCIAL_000117,2023-01-17,NY
SOCIAL_000118,2023-01-17,NY
SOCIAL_000119,2023-01-17,IL
SOCIAL_000120,2023-01-17,NY
SOCIAL_000121,2023-01-17,OH
SOCIAL_000122,2023-01-17,TN
SOCIAL_000123,2023-01-18,NY
SOCIAL_000124,2023-01-18,TX
SOCIAL_000125,2023-01-18,WA
SOCIAL_000126,2023-01-18,NC
SOCIAL_000127,2023-01-18,FL
SOCIAL_000128,2023-01-19,MN
SOCIAL_000129,2023-01-19,MA
SOCIAL_000130,2023-01-19,CA
SOCIAL_000131,2023-01-19,VA
SOCIAL_000132,2023-01-19,SC
SOCIAL_000133,2023-01-19,NH
SOCIAL_000134,2023-01-19,GA
SOCIAL_000135,2023-01-19,MA
SOCIAL_000136,2023-01-19,CA
SOCIAL_000137,2023-01-19,WA
SOCIAL_000138,2023-01-20,AZ
SOCIAL_000139,2023-01-20,TX
SOCIAL_000140,2023-01-20,CA
SOCIAL_000141,2023-01-20,CA
SOCIAL_000142,2023-01-20,MI
SOCIAL_000143,2023-01-20,TX
SOCIAL_000144,2023-01-20,TX
SOCIAL_000145,2023-01-20,OR
SOCIAL_000146,2023-01-21,FL
SOCIAL_000147,2023-01-21,OK
SOCIAL_000148,2023-01-21,NY
SOCIAL_000149,2023-01-22,FL
SOCIAL_000150,2023-01-23,TX
SOCIAL_000151,2023-01-25,MI
SOCIAL_000152,2023-01-26,TX
SOCIAL_000153,2023-01-26,LA
SOCIAL_000154,2023-01-26,IL
SOCIAL_000155,2023-01-26,SC
SOCIAL_000156,2023-01-27,CA
SOCIAL_000157,2023-01-27,SC
SOCIAL_000158,2023-01-27,NJ
SOCIAL_000159,2023-01-28,GA
SOCIAL_000160,2023-01-29,ME
SOCIAL_000161,2023-01-29,CA
SOCIAL_000162,2023-01-30,TX
SOCIAL_000163,2023-01-30,TX
SOCIAL_000164,2023-01-30,MS
SOCIAL_000165,2023-01-30,IN
SOCIAL_000166,2023-01-30,IA
SOCIAL_000167,2023-01-30,TN
SOCIAL_000168,2023-01-30,DE
SOCIAL_000169,2023-01-30,FL
SOCIAL_000170,2023-01-30,WA
SOCIAL_000171,2023-01-31,TX
SOCIAL_000172,2023-01-31,VA
SOCIAL_000173,2023-01-31,MS
SOCIAL_000174,2023-01-31,CT
SOCIAL_000175,2023-01-31,FL
SOCIAL_000176,2023-01-31,GA
SOCIAL_000177,2023-01-31,NC
SOCIAL_000178,2023-01-31,PA
SOCIAL_000179,2023-01-31,TX
SOCIAL_000180,2023-01-31,CA
SOCIAL_000181,2023-01-31,CA
SOCIAL_000182,2023-01-31,MN
SOCIAL_000183,2023-01-31,OH
SOCIAL_000184,2023-01-31,PA
SOCIAL_000185,2023-02-01,NJ
SOCIAL_000186,2023-02-01,NY
SOCIAL_000187,2023-02-01,CA
SOCIAL_000188,2023-02-01,NV
SOCIAL_000189,2023-02-01,GA
SOCIAL_000190,2023-02-01,TX
SOCIAL_000191,2023-02-02,CA
SOCIAL_000192,2023-02-02,WI
SOCIAL_000193,2023-02-02,OK
SOCIAL_000194,2023-02-02,RI
SOCIAL_000195,2023-02-02,NC
SOCIAL_000196,2023-02-02,AL
SOCIAL_000197,2023-02-02,NJ
SOCIAL_000198,2023-02-02,OH
SOCIAL_000199,2023-02-02,IN
SOCIAL_000200,2023-02-02,CA
SOCIAL_000201,2023-02-03,CO
SOCIAL_000202,2023-02-03,PA
SOCIAL_000203,2023-02-03,WA
SOCIAL_000204,2023-02-03,MA
SOCIAL_000205,2023-02-03,TX
SOCIAL_000206,2023-02-03,OH
SOCIAL_000207,2023-02-03,TX
SOCIAL_000208,2023-02-03,OH
SOCIAL_000209,2023-02-03,OH
SOCIAL_000210,2023-02-03,WA
SOCIAL_000211,2023-02-03,AL
SOCIAL_000212,2023-02-03,AZ
SOCIAL_000213,2023-02-04,TX
SOCIAL_000214,2023-02-04,IA
SOCIAL_000215,2023-02-04,CO
SOCIAL_000216,2023-02-04,IA
SOCIAL_000217,2023-02-04,WV
SOCIAL_000218,2023-02-04,CA
SOCIAL_000219,2023-02-04,NY
SOCIAL_000220,2023-02-05,CA
SOCIAL_000221,2023-02-06,PA
SOCIAL_000222,2023-02-06,GA
SOCIAL_000223,2023-02-06,CA
SOCIAL_000224,2023-02-06,CA
SOCIAL_000225,2023-02-06,FL
SOCIAL_000226,2023-02-06,CA
SOCIAL_000227,2023-02-06,NM
SOCIAL_000228,2023-02-06,IL
SOCIAL_000229,2023-02-06,VA
SOCIAL_000230,2023-02-06,AL
SOCIAL_000231,2023-02-07,AL
SOCIAL_000232,2023-02-07,OK
SOCIAL_000233,2023-02-07,KS
SOCIAL_000234,2023-02-07,NY
SOCIAL_000235,2023-02-08,TX
SOCIAL_000236,2023-02-08,CA
SOCIAL_000237,2023-02-08,TX
SOCIAL_000238,2023-02-08,GA
SOCIAL_000239,2023-02-08,TX
SOCIAL_000240,2023-02-08,GA
SOCIAL_000241,2023-02-08,IN
SOCIAL_000242,2023-02-08,NC
SOCIAL_000243,2023-02-08,NH
SOCIAL_000244,2023-02-08,WA
SOCIAL_000245,2023-02-08,OH
SOCIAL_000246,2023-02-08,IL
SOCIAL_000247,2023-02-09,GA
SOCIAL_000248,2023-02-09,VA
SOCIAL_000249,2023-02-09,KY
SOCIAL_000250,2023-02-09,OR
SOCIAL_000251,2023-02-09,MI
SOCIAL_000252,2023-02-09,NM
SOCIAL_000253,2023-02-09,CA
SOCIAL_000254,2023-02-10,OH
SOCIAL_000255,2023-02-10,IL
SOCIAL_000256,2023-02-10,TX
SOCIAL_000257,2023-02-10,FL
SOCIAL_000258,2023-02-10,IL
SOCIAL_000259,2023-02-10,IA
SOCIAL_000260,2023-02-10,VA
SOCIAL_000261,2023-02-11,SC
SOCIAL_000262,2023-02-11,TX
SOCIAL_000263,2023-02-11,MN
SOCIAL_000264,2023-02-11,NC
SOCIAL_000265,2023-02-11,FL
SOCIAL_000266,2023-02-11,AK
SOCIAL_000267,2023-02-11,VA
SOCIAL_000268,2023-02-11,NJ
SOCIAL_000269,2023-02-12,CA
