week,leads,dm_spend_billed,digital_spend,dm_spend_actual,dm_adstock,dm_billing_lag
1,543.6,0.0,5.37,0.04,0.02,3
2,683.0,0.0,4.06,0.15,0.08,5
3,1174.6,0.0,6.5,28.29,14.19,5
4,1209.4,0.04,7.02,0.0,7.09,5
5,1077.3,0.0,3.83,0.0,3.55,3
6,906.0,0.0,4.87,0.0,1.77,5
7,1338.0,0.15,6.82,26.52,14.15,3
8,1234.2,28.29,6.51,0.06,7.1,4
9,1415.7,0.0,7.05,20.18,13.64,4
10,1223.6,26.52,6.2,0.0,6.82,4
11,1130.6,0.0,8.4,0.0,3.41,3
12,1411.4,0.06,8.37,21.09,12.25,3
13,1285.6,20.18,7.57,0.08,6.17,5
14,1218.8,0.0,8.85,0.2,3.18,3
15,1114.9,21.09,8.04,0.29,1.74,3
16,989.7,0.0,6.39,0.04,0.89,5
17,1006.1,0.2,7.76,0.0,0.44,3
18,1340.7,0.38,6.04,27.85,14.15,5
19,1308.7,0.0,8.08,0.03,7.09,5
20,1492.9,0.0,6.77,24.54,15.81,4
21,1321.5,0.04,6.39,0.0,7.91,3
22,1099.0,0.0,5.55,0.0,3.95,3
23,1062.9,27.85,7.57,0.0,1.98,3
24,1277.4,24.57,5.64,24.67,13.33,4
25,1196.1,0.0,5.02,0.02,6.67,3
26,1033.1,0.0,4.81,0.0,3.34,4
27,985.8,0.0,5.56,0.0,1.67,3
28,919.0,24.69,5.06,0.0,0.83,4
29,909.2,0.0,4.82,0.0,0.42,3
30,1197.4,0.0,4.55,22.48,11.45,5
31,1104.6,0.0,6.33,0.18,5.81,3
32,947.4,0.0,3.02,0.01,2.91,3
33,808.1,0.0,2.66,0.1,1.51,3
34,742.1,0.18,2.09,0.0,0.75,5
35,807.0,22.49,3.63,0.0,0.38,3
36,809.6,0.1,4.1,0.0,0.19,4
37,727.5,0.0,2.49,0.0,0.09,4
38,667.3,0.0,1.54,0.21,0.15,4
39,1030.9,0.0,1.52,23.74,11.95,5
40,986.9,0.0,3.28,0.08,6.02,5
41,1292.1,0.0,3.43,26.06,16.04,4
42,1185.0,0.21,3.26,0.09,8.07,5
43,1353.6,0.0,1.91,22.37,15.22,3
44,1198.4,23.74,3.13,0.0,7.61,5
45,943.8,26.14,3.16,0.0,3.8,4
46,883.6,22.37,3.48,0.0,1.9,5
47,852.9,0.09,4.49,0.04,0.97,5
48,1215.1,0.0,3.96,26.03,13.5,5
49,1195.8,0.0,4.78,0.0,6.75,5
50,966.2,0.0,4.33,0.0,3.38,4
51,893.6,0.0,4.89,0.02,1.7,3
52,898.4,0.04,5.61,0.16,0.93,4
53,766.2,26.03,3.4,0.02,0.47,3
54,846.3,0.02,5.07,0.0,0.24,5
55,1202.3,0.0,5.19,24.13,12.18,3
56,1162.6,0.17,5.27,0.13,6.16,3
57,1031.8,0.0,5.97,0.02,3.09,3
58,1452.5,24.13,8.35,27.46,15.27,4
59,1314.8,0.13,5.74,0.11,7.69,4
60,1186.8,0.02,8.14,0.04,3.87,5
61,1011.0,0.0,5.13,0.15,2.01,4
62,964.6,27.46,6.89,0.02,1.01,3
63,916.7,0.11,7.59,0.0,0.51,3
64,1347.8,0.0,8.17,27.97,14.24,3
65,1292.0,0.21,8.35,0.17,7.2,4
66,1185.4,0.0,8.44,0.17,3.69,5
67,1455.6,27.97,7.03,25.31,14.5,4
68,1265.6,0.0,6.82,0.0,7.25,5
69,1157.4,0.17,8.29,0.15,3.7,3
70,1507.2,0.0,6.88,28.68,16.19,3
71,1283.1,25.48,5.4,0.0,8.09,5
72,1081.0,0.15,5.37,0.06,4.08,3
73,980.4,28.68,5.39,0.0,2.04,3
74,969.9,0.0,6.84,0.0,1.02,4
75,908.5,0.06,6.14,0.0,0.51,5
76,928.7,0.0,6.51,0.03,0.27,5
77,878.6,0.0,4.87,0.14,0.21,3
78,867.7,0.0,5.27,0.01,0.11,5
79,860.9,0.0,5.52,0.06,0.09,5
80,1209.8,0.14,4.1,22.33,11.21,5
81,1103.5,0.03,4.73,0.0,5.6,5
82,887.7,0.0,3.1,0.0,2.8,3
83,1310.9,0.01,3.2,28.67,15.74,5
84,1154.4,0.06,2.93,0.0,7.87,3
85,968.6,22.33,1.73,0.0,3.93,5
86,927.6,0.0,3.56,0.09,2.01,4
87,763.0,0.0,2.25,0.0,1.01,5
88,712.0,28.67,2.69,0.0,0.5,4
89,1051.6,0.0,3.16,24.26,12.38,4
90,1006.5,0.09,3.06,0.0,6.19,4
91,942.3,0.0,3.3,0.1,3.15,5
92,853.4,0.0,2.4,0.05,1.6,5
93,784.4,24.26,2.06,0.13,0.87,3
94,1129.7,0.0,2.56,28.04,14.46,5
95,980.4,0.0,1.5,0.0,7.23,4
96,890.7,0.23,1.5,0.0,3.61,3
97,790.4,0.05,1.53,0.02,1.82,4
98,771.3,0.0,2.13,0.02,0.92,5
99,806.0,28.04,4.05,0.0,0.46,5
100,761.8,0.0,2.74,0.01,0.23,5
101,784.6,0.02,3.65,0.02,0.13,4
102,836.1,0.0,5.96,0.25,0.19,5
103,820.9,0.02,4.27,0.19,0.19,4
104,816.1,0.0,5.89,0.0,0.09,5
